Name,Year,DOI,DOI-URL,Accessible
Journal of chemical documentation,1961,10.1021/c160002a023,https://doi.org/10.1021/c160002a023,False
Journal of chemical documentation,1962,10.1021/c160006a024,https://doi.org/10.1021/c160006a024,False
Journal of chemical documentation,1963,10.1021/c160010a013,https://doi.org/10.1021/c160010a013,False
Journal of chemical documentation,1964,10.1021/c160015a004,https://doi.org/10.1021/c160015a004,False
Journal of chemical documentation,1965,10.1021/c160018a016,https://doi.org/10.1021/c160018a016,False
Journal of chemical documentation,1966,10.1021/c160020a012,https://doi.org/10.1021/c160020a012,False
Journal of chemical documentation,1967,10.1021/c160026a010,https://doi.org/10.1021/c160026a010,False
Journal of chemical documentation,1968,10.1021/c160031a015,https://doi.org/10.1021/c160031a015,False
Journal of chemical documentation,1969,10.1021/c160033a003,https://doi.org/10.1021/c160033a003,False
Journal of chemical documentation,1970,10.1021/c160037a600,https://doi.org/10.1021/c160037a600,False
Journal of chemical documentation,1971,10.1021/c160042a006,https://doi.org/10.1021/c160042a006,False
Journal of chemical documentation,1972,10.1021/c160045a600,https://doi.org/10.1021/c160045a600,False
Journal of chemical documentation,1973,10.1021/c160051a005,https://doi.org/10.1021/c160051a005,False
Journal of chemical documentation,1974,10.1021/c160054a601,https://doi.org/10.1021/c160054a601,False
